vjedr#	水桶
ekskursja	游览，参观 excursion
ekskurs$@	导游
nouarena	精力充沛的
entuzjazm	热情，热忱 энтузиазм
denekj	发电站
ekran	荧幕 экран
$ar	球体 шар
$ahmatlar	国际象棋 шахматы
$ahmat	棋子
yelo	死亡
yelsjz	永生
yelsjzna	永生的
atadano	找零，找回的钱 сдача
stjpjendja	奖学金 стипендия
granjtsa	国界，边境
dena	端口 den-a
sua	港口,口岸 su-a
kirsua	进口,引进 kir-sua
kirdena	导入,输入,传入(数据等)
slasua	出口(货物等) export
sladena	输出,导出,传出(数据等)
dea	(空间的)出口 exit
kira	(空间的)入口 entrance
%ola	路口
tvorj	创造 творить
%ane	诞生,出生
arka	背 arka
harjch	除了… hariç
dokilar	一些
dudochka	笛子 дудочка
brasljet	手镯 браслет
jcjgo	草莓🍓,杨梅
#rmanjcjgo	树莓
maga	弯曲,转弯,歪曲 曲(ま)がる
tsika	柄,手把,笔杆 柄(つか)
shjolj	处理 しょり
shjoljtsika	句柄 handle
sisime	前进,进步,增进,提高 進(すす)む
sisimjaz	程序 pro-gram
shjoljaz	进程 process shjolj-sisimjaz
jtosimjaz	线程 thread jto-sisimjaz
-do	动词后缀 表转折 此时动词相当于名词但有时态
fij	冷不防,突然,意外,出其不意 不意(ふい)
jtsika	曾经,以前,不知不觉,无意之中,不知何时
uo	语气词 表咏叹,舒缓语气
jnfrastruktura	基础设施 инфраструктура  infrastructure
hudj	连帽卫衣 худи
salfjetka	餐巾纸，纸巾 салфетка
tusa	娱乐晚会，聚会 туса
kusachka	指甲刀 кусачка
raschjoska	梳子
formula	公式 формула
kulak	耳朵👂
kulaktenmonolar	耳机🎧 наушники
arkahjt	朋友 arka-hjt
hana	鼻子👃
barhan	沙丘 бархан
oj$@	思想者 мыслитель
um$@	智者
asasq#j$@	缔造者
fjlosofja	哲学 философия
alkir	拿进，列入，提出 внести
pjtae	喂养，供给 питать
pjtano	喂养，供给，营养
pjtatene	教育 воспитать
pjtatenno	教育
matjerjal	材料，资料
propaganda	宣传
propagandaq@le	宣传
so$oalna	社会的
umalna	智力的
norma	标准
qara#rmanka	榆树
%ol$@	旅客
kjoklja	清明 kjo-klja
pjtaten$@	教育者
pjtaten$@na	教育性的
pjtatencevmono	受教育者
bi	部，局，处，科，篇，部分
binaq	单独地
bina	单独的，独立的
$ej	东西 şey
mukae$@n@st	犹豫
mukae$@	犹豫者
mukae$@na	犹豫的
spredb&l	区分
spredb&lcj	分成（若干部分）
vib&l	分出，抽出，拨出(时间等)
posljede	追随，跟随
posljed$@	追随者
guman	仁
gumanna	仁爱的，人道的
gumanjzm	人道主义
egake	绘画,作画,描绘,描写 描(えが)く
makarna	面条
issjzna	失业的
vrach	医生 врач
doru	朝，向 doğru
otel	旅店
ojun$@	演员 oyuncu
kensa	检查
poluche	得到
zapoluchecevna	应得的
%jebjecev	渴望，奔往，冲向
%jebjecevno	渴望
%jebjena	急速的,急剧的
takala	宝物,珍宝 たから
nose	带，携带
nos$@	载体，携带者 носитель
kisana	短的
gadae	猜 гадать
sjeno	信仰
musjendekjna	难以置信的
tajna	秘密
tajnstvona	神秘的
jtosjz	无线
%olyet	路由
%olyet$@	路由器 router
jtoaro	有线
tenjto	在线
cjto	下线,离线,线下
svjaz	联系 связь
noubanka	充电宝power bank
bjleq	甚至 bile
siqsiq	经常
gu	固,坚固,凝固,固体,固态,固定
gudenyn	固定电话,座机
nosedenyn	携带电话,手机,移动电话
djemadeno	条约，契约，合同 договор
pjerjedjeno	对话，通话，洽谈，协商 переговор
poahae	修正，改正
poahaka	修正，校正，调整，修改，修正案
yazjxxjoka	名单，目录，清单
igoke	运动,活动,移动,动作 動(うご)く
igokresim	动画,视频 video
pokinje	放置，安放，поместить
tsena	价格
hejlamj	屏幕,显示屏 hej-lamj
bjlno	知识
eljtna	精选的，良种的 элитный
eljta	良种，杰出人物
jnfarkt	梗塞，梗死 инфаркт
karta	卡片 карта
kvartjra	公寓apartment квартира
kvartal	街区 квартал
sauae	触摸,碰触,接触,抚摸 触(さわ)る
sauaslae	触发
fljp	弹动,(使)快速翻转,迅速翻动,按(按钮) flip
flop	猛然坐下,(沉重)落下
fljpflop	触发器 在时钟信号改变时采样的存储电路
jes$@	寄存器 由触发器组合构成 有极高读写速度
kagj$@	锁存器 latch
meme	存储,存放,记忆 memorize
memono	内存,存储器 memory
mahae	挥动 махать
bambuk	竹子 бамбук
ajuneko	大熊猫🐼
xjsen	四川
sejto	成都
kyou	疆域,国土
%anakyou	新疆
kisahejnja	草原
ixje	放牧,游牧
ijxoba	牧场
menljixjoba	乌鲁木齐 优美的牧场
rossja	俄罗斯
afrjka	非洲
volosa(lar)	头发 волоса
valjenka(lar)	毡靴  валенки
-so	名词后缀 元素
suso	氢,水素
soususo	氘
trj	三 3
trjsuso	氚
kisasuslana	短暂的 kisa(取“短”之意)-susla
kjxj	岸 きし
rukav	袖子 рукав
rukavsjzka	马甲 безрукавка
dokioj$@	知己，志同道合的人
r#sk@$	奢侈 роскошь
k@$mar	噩梦，梦魇 кошмар
odajaka	平稳,平静,温和,稳妥
#jlasjzna	不可思议的,难以置信的,奇妙的
jlka	季节 jl-ka
iken	四 （jlka jn 季节的）发生音变而来
bex	五 beş
pitae	问
savjs	服务 service
savjs$@	服务器
savjse	为…提供服务
savjso	服务员
lok	六 6 ろく
rezhen	七 （由彩虹的 raduga jn 音变得到）
uzunhalj	长春
%yrjekaq	善良 %yrjek-aq
%yrjekaqna	善良的
jojsjn	你好！
pokyercevo	相遇
+jkanhe	再见！
jojna tang	早上好！
jojna kyn	中午好！
jojna tasogale	晚上好！
xjzikana tyn	晚安！
komevarka	电饭煲 рисоварка
k#mjks	连环画
stsena	舞台 сцена
stsenarj	剧本 сценарий
pj%ama	睡衣 пижама
truslar	短裤，裤衩 трусы
kjteno	被子 одеяло
pakjet	纸袋，小袋子 пакет packet
marker	马克笔
flomaster	吸水笔，彩色水笔 flowmaster фломастер
fle$ka	U盘 флешка
skrjepka	回形针 скрепка
n#%	刀 нож
n#%monolar	剪刀✂️ ножницы
garm#nja	手风琴 гармония
gubagarm#nja	口琴 губная гармония
kopja	复印件 копия
sagase	搜索,搜寻,寻找 探(さが)す
kikak	区域,分区,地区,区划 区画(くかく)
sagasmono	搜索者，搜索引擎
spredbjer	分配,分发 spred-bjer
vibjer	发放，发给 vi-bjer
bjerdane	献给 
fito	粗,胖 太(ふと)い
momo	腿 股(もも)
fitomomo	大腿
pobjer	递
cjn	官员 чин
cjncje	服从
cjncjeceve	服从于
ostacev	保持
prjostacev	遵守
set	设置,建立,置位
muset	清除,重置,复位
gruda	堆，一大堆 груда
xjegolje	炫耀 щеголять/щегольнуть
sovae	插进，随便塞入 совать
bje	打 бить beat
zabjer	提出，布置，举行 za-bjer задать
zabjera	任务
syjkire	爱上
duh	精神 дух
on	十
y	（固有）九
os	八 8
kouaq@le	吓唬，使害怕
kouaq@lcev	感到害怕
kouaq@lcevna	被吓到的
kouana	恐怖的
kouaq@lna	吓人用的
pr@se	请求 просить
pr@so	请求
ko$dane	逃跑 ko$-dan
sauacev	涉及，谈及，论及 saua-cev
t@ndacev	听从 t@nda-cev
stoje	值（多少钱），值得 стоить
polna	满的 полный
en-	围绕
ene	围绕，把…围住
o%jdae	期待 ожидать
%elae	祝愿 желать
%elano	祝福
igokno	移动，动作，活动，动态
-stvo	名词后缀，使原来的名词更加抽象，转义后缀
mastjer	匠人
ite	唱
ita$@	歌手
arsie	实现 are-si
aro	本质
kjzi$@	建造者
kjzika	工地
kjzistvo	建设事业，建筑工程
kjzina	排列整齐的，严整的
kjzi$@na	建筑的
kjzisie	安排，组织，举办
kjzisio	组织，安排，布置
kjzisiostvo	装置，体制，设备
kjzisi$@	组织者
kjzisiecev	被安排，找到工作，就业
kjzisiecevna	安排妥善的
-elaj	表大后缀
podotenelajo	优势，优越性
jlkna	初次的，最初的 ilk
naka	中间,中部,腹部,中心 中(なか)
nakastvo	腹地,盆地
karjyer	事业 career
mjera	尺度,度量 мера
lo+jkalna	有逻辑的，有道理的
mjeduza	水母 медуза
yetsyez	密码 password
yezyel	自杀
olje	纺织,编织 織(お)る
hjme	公主,姑娘,小的(前缀),可爱的(前缀) 姫(ひめ)
oljohjme	织女 織姫(おりひめ)
hjko	男子美称 彦(ひこ)
njuhae	闻
ilisana	嘈杂、烦人的 うるさい
raps	油菜 рапс
zenzenq	完全,全然
mah	魔法 маг
tortenna	真正的 tor-ten-na
djl	灵魂,心灵
tortenna ku$ma syjena hjt	真正的爱鸟人,(比喻为感情放手的人)
vjejer	扇子 веер
vjernisa%	(艺术展)预展,开幕日 вернисаж, vernissage
-$@na	性质形容词后缀,$@在这里意为“具有…特性者”
ka$@na	坚决的,果断的 kae的性质形容词
yeztor$@na	独立的,自主的
zen-	前缀,前 ぜん (时间 顺序)
zenkalar	祖先 предки
mjelodja	旋律 melody
mjelodjkna	悦耳的 melodic мелодичный
banalna	老生常谈的,陈腐的 банальный banal
tajnstvo	神秘 таинства
pjejza%	风景 пейзаж
stjerjeotjp	陈规旧习,刻板印象 стереотип stereotype
doki+jkannaq	同时
en%yr	绕过
muen%yrna	必须的,(绕不开的)
muen%yrnaq	必须,一定
muen%yrn@st	必要性
pobahtcev	走运po-baht-cev посчастливиться
tyne	过夜 переночевать,ночевать
cjerjep	头骨 череп
katasi	使增加 kata-si
katasielaje	夸大 преувеличивать exaggerate
pjtacev$@	宠物 pjta-cev-$@  питомец
jyn+y	不是,错 (自造词)
$jn$jlla	龙猫,南美洲栗鼠,绒毛丝鼠
kamotsi	货物 かもつ
pjon	芍药 пион
formulaq@le	表述,下定义
prjnts	(西方的)王子принц
prjnts aqna at tenda	白马王子 принц на белом коне
molje	祈求,恳求молить
moljcev	做祷告
pauasie	使增强,增大 усиливать paua-si
xjzikacje	平息,减小 стихать xjzika-cj
produkt	产品
imjprodukt	海产品
vata	棉花 вата
amena vata	棉花糖 сахарная вата
yettee	砍伐,凿穿,开辟 прорубить yet-te
yetteka	窟窿,孔,冰窟窿 прорубь
podojolo	开始
podojoloq@le	出发,起飞 стартовать
momjent	时刻
yez#qu	自学
yez#qu$@	自学者
#qumono	课本,教材
yez#qumono	自学课本
syjcev$@	宠儿 любимец
rakjeta	🚀火箭 ракета
spredbjercev	传来,想起 раздаться
dollar	美元 $
%jeruang	地震 землетрясение
eljemna	宇宙的 космический
eljemna kema	宇宙飞船
jojnapoluchna	顺利的 благополучно
jojnapoluchnaq	顺利地
b#rt tenda	载有 на борту, on board, aboard
eljemgaki	航天学
%anna	生死攸关的,逼真的,生活的 жизненный, vital
grandjozna	宏伟的 грандиозный grandiose
hjlceve	加宽,变宽,扩大
objem	体积,容积,规模 объем
orbjta	轨道 орбита orbit
vode	领,驾驶  водить
yetvode	进行,度过,引导,领过 проводить
yetvodmono	导体 проводник
polu-	前缀,半
poluyetvodmono	半导体 полупроводник
uzaksie	去除,退离,排除
uzaksio	排除,距离,远离 удаление
potenn@st	表面 po-ten-n@st
musuna	粗枝大叶的,马虎的,疏忽的 небрежный
musuelajе	轻视,蔑视 пренебречь
b#dricje	鼓励,鼓舞 подбодрить
sapfjr	蓝宝石 сапфир sapphire
rangsie	着色,染色 украсить
kljk	喊叫 клик
kljknue	喊一次 кликнуть
kljkten	高呼,惊叹, воскликнуть
vikljk	喊出 выкликать
zaosta	扣留,挡住,拖延,抓住 задержать
zaostacev	停留,延误
soto-	前缀,外…
soto%jerna	地外的 внеземной
soton@st	外表 внежность
t#pljv@	燃料 топливо
mudokikerenaq	屡次 неоднократно
itatene	歌颂,颂扬 ita-ten воспеть
itatencevna	被颂扬的
cyke	挂着,悬挂着(自造词)
zacyke	依赖
muzacykecevna	不受制于人的,独立的
sloj	层,слой
rjemjen	皮带 ремень
kjet#jlacev	感到失望 отчаиваться
hej@st	盘子,碟子
jnljok	引力
tagaj	相互,互相 互(たが)い
pauana	强大的,有力量的
pauanatagajejkyouljok	强相互作用力
jouana	弱的,脆弱的,软弱的 弱(よわ)い
jouanatagajejkyouljok	弱相互作用力
+j	磁 じ
den+jljok	电磁力
ljok	力 科学概念
masatsi	摩擦 まさつ
masatsiljok	摩擦力
fljpljok	弹力
kjetnakaljok	离心力
vanderuallsljok	范德华力
fita	盖子 ふた蓋
fite	盖,动词
zafite	盖上,关上,闭上
zafite kyezlar …he	无视…
estja	陆地 est-ja
te%uhana	厕所,洗手间 te-%u-hana
tagajsvjazna	相互联系的
kodokina	孤独的
poljtjka	政治 политика
yelna	不免一死的,致死的,必死的 смертный
yelna kisi	凡人
ukrajna	乌克兰
aqrussja	白俄罗斯
cjcjka	土壤 cj-cjka
tee	砍伐
anko	视力
ankoten	观点,看法 воззрение
mjrankoten	世界观 мировоззрение
trans-	变,转,前缀
susjzsi	使…脱水,除水 обезвоживать
ozon	臭氧 ozone озон
nona	野的
arjxxjo	共存
nolana	无家可归的
kirsuana	进口的 imported
brodje	徘徊 бродить
prjajzit@ndae	接听(电话等) prjajzi-t@nda-e
$vabra	拖把 швабра
urna	幸运的
bahtna	幸福的
urno	幸事
urka	幸运符
bulut	云,bulut
lombard	当铺 ломбард
kvadrat	正方形,立方体,方块 quadrate  квадрат
muzvalj$	冰雹
yete$@	路人,过路人
altinna	金色的
avtonou	函数
hejlamje	显示,显现
hejlamjohate	结果,效果,成果
hejlamjohatesi	生效
arsio	功能,实现
njku	困难,艰难 難(にく)い
-njkuna	动名词后缀,做…很难,不容易办…
qaranjkuna	丑陋的,难看的 醜(みにく)い
qaranjkuno	丑陋,丑恶,难看
podostvo	(发展,前进)道路
bjlmj	知己
uzakp#ska	天涯,极远处 uzak-p#ska
tonalj	邻居,隔壁,旁边,临近,附近
yezjnsie	掌握,消化,领会
cjnalna	正式的,官方的 cjn-alna  official
cjnaln@st	官方性质,官腔 официальность
pjerjeljet	迁徙 перелёт pjerje-ljet
arja	咏叹调 ария
%aba	蛤蟆,蟾蜍
ume	会,能够 um的动词
umeno	能力,技能 умение
hejuasie	使和解
hejuasiecev	(相互)和解
enteo	武器,军械,武装力量 en-te-o
entejche	武装 вооружить
cykka	衣架 вешалка
avtonomja	自治权
soghuknjatamakent	北京(缩略词:sokent)
tenimj	上海
jchna mongolia	内蒙古
kilolonge	黑龙江
pr@sjolka	需求 pr@s-jol-ka
poq#jka	供给,供货,提供 po-q#j-ka
tontasjanaatamakent	南京(缩写:tonkent)
harbjn	哈尔滨
usto	过去
esto	目前
asto	以后
ajtcevno	谓语
sarina	黄色的 сары
%azka	绿 жасыл
sor	灰色 сұр
dorudan	向来,从来 doru-dan
hbakle	忌惮,顾忌,怕 憚(はばか)る
djem@n	恶魔👿демон
ualyna	坏,不好;恶性;恶劣;有害,不利;腐败的,劣质的
oksoke	揣测,猜(测),臆测 憶測(おくそく)
galaktjka	星系 галактика
ton	团,块
hoxjton	星团
hoxjbulut	星云
hoxjrj	星河
que	追逐,驱逐 қуу
aqqu	天鹅аққу
anaua	那么
isi	薄纱,薄片
isina	淡淡的,轻薄的,易失的
yetka+o	经验
%jdjek	浆果 жидек
#mut	漩涡 омут
m@sal	例子 мысал
focus	焦点 фокус
focusq@le	使聚焦
focusq@lecev	聚焦于
ha	刀刃,刀锋,刀口 は
tenigokecev	耸立,竖立
oraza-ajt	开斋节,肉孜节 ораза айт
kurban-ajt	宰牲节,古尔邦节
dombra	冬不拉 домбра
rauap	热瓦普
fakultjet	(大学里的)系 факультет
hat$@	秘书 hat-$@
%om@s	工作 жұмыс
is	事情
so$oton	社团
njanja	保姆 няня
-lar	复数后缀 包括第三人称动词复数后缀,泛指某些
tok	时候 …jn tok 当…时
kanjou	宽恕,宽容,容许,容忍
bi+ok	侮辱
skjeljet	骨骼 скелет skeleton
kaljan	水烟 кальян
quane	使高兴 қуану
%oghar@na	高等的 жоғарғы
#rn@	场所 орны
daghd@	技巧 skill дағды
ojat	耻辱 ұят, позор
%igit	伙计,guy жігіт
ban	晚,晚上,傍晚
hoj	会,集会,聚会
banhoj	晚会
dah	屋顶 дах
densekj	典籍,书籍
kejden	经书,经典(著作)
poj	句末语气词 …似的
jkse	排除,使…例外
jksostvo	排外性,排他性
jksostve	排外,排他
jchjkse	排出,排泄
jchjksostve	排挤
tontaj	团体
$yudan	集团 しゅうだん
ten%an	天生
ten%an@st	天性
fljpman	动漫
prjtendae	克服 overcome
uzune	保持,持续
uzunodekjna	可持续的
stjerva	混蛋 стерва
au	喂?(电话用语)
tsemjent	水泥 цемент
kye$e	街,大街 ,көше
ky$tina	强壮的 қүшті
morgae	眨眼,眨巴 моргать
morgnue	眨一下眼 моргнуть
bau@r	肝 бауыр
$pjlka	发簪,插销 шпилька
garantja	保证 гарантия
pomada	膏 помада
qara$@	监控摄像机
pahae	耕地 пахать
feda	指头
obman	骗局 обман
obmane	骗 обманывать
makalestvo	文件
t@nda	听 тыңдау
q@s	冬天 kış қыс
q@z	女孩 қыз
quran	古兰经 құран
qararang	黑色,眼睛的颜色 қара
bal@q	鱼 balık балық
#qu$@	学生 оқушы
q#naq	客人 қонақ
qan	血 қан
qudaj	安拉,真主,胡大 Құдай
sabaq	课lesson сабақ
qoj	倒 қою
qol	手 қол
qajt	返回 қайту
q@z@kna	有趣的 қызық
biraq	但是 бірақ
qara	看着 look қара
ernakim	任何人әркім
eskjer	战士 әскер
jertjeng	明天 ертең
sjen	相信 сену
ular	他们 олар
tavuk	鸡 тауық
ojun	游戏 ойын
kapju$on	兜帽,风帽(连帽卫衣的帽子)капюшон,罩
bjuro	委员会,局(bureau) бюро
tuz	盐(土耳其语tuz)тұз
berina	所有 бәрі
til	语言,舌头, 土:dil тіл
tis	牙 土:diş тіс
ming	千 мің
pjjaz	洋葱 лук onion пияз
tor	站v. тұру
chorba	汤 çorba сорпа
mjeng	痣 мең
kal	胎记 қал
tab@l	找 табу
bat@r	勇士 батыр
kamjyezljeto	纸飞机
tagajdje	交流,交谈 tagaj-dje
kooj	行为 こうい
doruba	对方,对面
ychyn	为了… for (后置prep.) smth. +ychyn 为了… үшін
isie	变淡,淡忘
kje$je	昨天 кеше
jeka	家庭作业 je-ka
euljet	朝代 әулет
kirpi$	砖 кірпіш кирпич
hal	状况 хал
kjjar	黄瓜 қияр
raj	情况 рай
auaraj	天气 aua-raj  (ауа райы)
bajauna	慢的 баяу
$ar$ae	累 шаршау
ajdol	偶像
ajnala	周围 айнала
almort	梨 алмұрт
mar$	进行曲  марш
onate	中意,偏爱于 ұнату
edjebjet	文学 әдебиет
tyjye	骆驼🐫 түйө
bj	法官 би
suje	推,推进,推动 すい
hje	拉,牵引,拽 引(ひ)く
qoldae	支持 қолдау qol-da-e
handae	反对 はんたい
bjlee	跳舞 билеу
yezsjn	你自己
yezsjnjz	你们自己
yezjz	我们自己
yezlar	他们自己
yezstvo	性质,特性 свойство
fjeja	仙女 фея
ad	地狱 ад
jad	毒,毒素 яд
komok	团,小球 комок
Qazaqstan	哈萨克斯坦 Қазақстан
Fransja	法国
Tyrkja	土耳其
Hankinj	韩国
Anglja	英格兰,英国
Mongolja	蒙古
Tajkinj	泰国
Germanja	德国
Jtalja	意大利
Austrja	奥地利
Australja	澳大利亚
Kanada	加拿大
Pakjstan	巴基斯坦
Hjndustan	印度
%ana zjelandja	新西兰
Jspanja	西班牙
Portugalja	葡萄牙
Brazilja	巴西,巴西利亚
jamaj	疾病 やまい
najamj	烦恼 悩(なや)み
tonbo	蜻蜓 蜻蛉(トンボ)
jnago	蝗虫,蚂蚱 蝗(いなご)
jne	稻子,水稻
jnazima	闪电⚡ 稲妻(いなずま)
jnaho	稻穗
kakj	花卉🌸,花草 かき
partja	党 партия
kompartja	共产党 компартия
kojl	线圈 coil
chjgaj	差异,差别,区别,不同 違(ちが)い
djf	微分
oe	名叫
djake	感谢,谢谢
huangdja	帝国
huangdj	皇帝
muaro	零
muarocj	负数,负
hrjeste	治疗,疗伤
kyezdae	瞄准
guuzen	偶然 ぐうぜん
ejkjou	影响,作用 影響(えいきょう)
cejkjou	巧合,一致 coincidence
sla	寄,发出,派(слать)sent
yetvoddan	生产,制造
slauako	派生词
slauake	派生
cjok	直 ちょく
cjoksauaq	直接地,没有其他事物介入地
cjoksauao	直接,率直
cjoksauana	直接的,不拐弯抹角的
cjoksen	直线 直線(ちょくせん)
cjokrog	直角
atama$@	老板,领导
torcjna	假的
torcjsyez	谎言
yanljna	艳丽的
zang$@	律师
hanhana	餐厅
ejona	疼的
j	噫
#	字母,发音ɔ,环
ye	停
i	巷子
@	字母,发音ə,惊讶
ba	皮
be	掰开
bju	射击
hjkome	性别
za%an	性
ze	艹
moto	原来,本来,源头 元(もと)
zajtka	标题
hatslana	通畅的,通达的,顺利的
buguku$	布谷鸟
tu	自造词,一百
tuajak	蜈蚣
jyzstvo	样式
jyzstvojzm	形式主义
cjnaljzm	官僚主义
$o	沉重
$ona	重的
$osctvo	重要性
$osctvona	重要的
daljtas	大理石
ajleyn	门铃
mu	木头
muka	灌木
$u	坚硬
$una	硬的
$ukida	坚果
mo	柔软
mona	柔软的
juna	简单的
gagaka	鸭子
kalako	辣子
guzunu	鸽子
tsazasa	鹰
ator	关隘,关卡
imjator	海关
katahoj	大会
tsa	将军
ma	被放弃的(事物)
mae	放弃
njngm@ng	柠檬
qaitajte	回复
tsetse	需要
anka$@lar	观众
choe	骑
yezcho	自行车
$@n	肾
kuato	神
kuatosjzzm	无神论
kuatosjzist	无神论者
cho$@	骑手
cjjaze	签
kyermono	证明
cjazkyer	签证
cjazkyersjz	免签
siqe	习惯,惯于
mabuna	耀眼的
areste	应该存在,表推量,意志
-ste	动词后缀,表推量,意志(应该是…/想必是…)
umo-	前缀,能…
mumo-	前缀,不能…
duche	裁
duch$@	裁缝
zhe	治理,管理
zho	治理,管理
ho	边,界限
hose	限制
hosostvo	制裁
vo	温度
tanavo	体温
auavo	气温
vochjgaj	温差
vomono	温度计
vohana	温室
yetujucev	睡醒
ch@e	吵醒,叫醒,唤醒,激起
ch@mono	闹钟
ybo	镜子
tsjklon	气旋
@ne	印
@no	印章
hode	笑
nae	哭 泣(な)く
zaare	出现
artenhe	占据
artenhecev	忙,忙于
artenhecevna	忙碌的
mudokistvona	特殊的,特别的
dokistvona	普通的,一般的
qansosena	剥削的,吸血的
sose	吸,сосать
uke	吐出,呼出(气体等)
sazjna	脏的(anq$uma语)
@ngara	流星(古anq$uma语)
cava	微风 (anq$uma语)
kamljna	疯狂的(anq$uma 语)
atjchta	荣耀(anq$uma 语)
pamljq	小溪(anq$uma 语)
+age	苏醒 (anq$uma 语)
ajstra	目标(anq$uma语)
saqtjna	破碎的(anq$uma 语)
ancjlla	女仆 拉丁语
kazka	风车
tastenostvo	阶级
gong	汞,水银
kej	肌
hoe	耗
suanna	酸
cyn	群
uej	胃
kega	伤,伤口,创伤
reket	讹诈,勒索 racket
kataynna	响的
kataynka	音响
argon	氩
+jkano	报纸
+jkane	计时,报时
cjraghba$nja	灯塔
lakuna	空隙,空白 лакуна, lacuna
kjlae	闪烁 キラキラ✨
vodka	伏特加
tillargaki	语言学
mjere	测量
zangmjerna	合理的,合乎规律的
zangmjern@st	规律性,合理性
makjja%	化妆 макияж
zenmjr	全世界,全球,环球
zemjosenka	因特网,互联网
burjabjlmono	海燕 буревестник
tyrk	突厥(“狄/翟”)
tyr	түр类,种类,相貌,样子(“翟”)
tyk	毛 түк (古汉语“翟”)
taq	恰好,刚好(古汉语“適”) тақ
taqae	тақау 接近("適”)
t@n	气息,喘气 дем ("填")
t@ne	呼吸,喘气
zrje	成熟,发育成熟 зреть
mjo	水路,水道,航道 澪(みお)
jyanjang	鸳鸯
moudan	牡丹 中古发音
yelsie	杀,杀死
cjajjnko	花生
sotokinj$@	外国人
hjlbase	压榨,剥削,压迫
hjlbasba	企业
dekjbolq	可能,也许
yse	使…停止
hjtarmono	权利 hjt-ar-mono
njerv	神经 нерв
suslana	流动的
suslan@st	流体,汁,液体
entor	停留
opjeko	监护,照顾 опека
opjeke	监护,照顾 опекать
alopjekocje	al-opjeko-cj 收养
paue	掌权,统治
pauo	pauo 统治
%al@qpauo	民主
san-	前缀,表分散
sanpode	散步
kjelmade	收入
sankjele	花销,开销,开支,支出
zagadka	谜语
sangadka	谜底
nakakj	中秋节
jxxjona	共同的
katanje$jeq	相当,有一定程度地
trebe+ena	所要求的
trebe+eno	要求
trebe	要求……
stres	压力
tara	弦
prjnur	黎明
Tentau	天山
otsk	包,背包
men	意思
menstvo	意义
mene	意思是,意味着
chue	笃信,信奉,崇拜
chukuatzm	宗教
marksjzm	马克思主义
so$oaljzm	社会主义
komvodjzm	共产主义
hanaqan	鼻血
zh@	柿子( 中古音)
q@z@lzh@	西红柿🍅
djas	薯(上古音)
guas	芋(上古音)
cjenjaguas	土豆,马铃薯
tangtang	蹄子 (拟声词)
bihjtchuo	个人崇拜
vjrus	病毒
maska	口罩😷
luno	阴历,月亮历 luna
til$@	记者
kitapje$@	书记
-njz	第二人称后缀(复数)
-+e	动词被动后缀
-s	动词使动
mardaspant	成分,元素(粟特语)
ordu	军队 土<匈奴
xjmnu	鬼(粟特语)
le$p	粘液,黏液 (吐火罗语)
anchman	社团(粟特语)
mar	先生(古代叙利亚语)
mjdjk	俗人 (粟特语)
patghamuar	先知(粟特语)
sukauatj	西方极乐世界(梵语)
$lok	诗句(梵语)
$arjr	舍利(骨)(梵语)
xyk	静止(粟特语)
wjhar	寺庙(梵语)
zautaj	发音(古叙利亚语)
xjx	烤肉钎子,烤肉签 şiş
samixyk	冷静,镇静
katorga	苦役 каторга
mjdna	俗的
zautaje	发音
njemna	哑的 немой
le$pe	粘,黏,贴
le$pna	黏的,粘的
sanle$pe	张贴
njeon	氖,霓虹
satka	购物
debjerka	费用
zenpokinje	假设
yetbjere	卖
chuma	鼠疫,黑死病 чума
atame	领导,统领
gnue	弄弯,掰弯 гнуть
njeme	变哑,说不出话 неметь
ubj	特殊疑问词 哪里 where 拉丁语
kalinna	厚的,kalın
islakna	湿的
map@	公文夹,文件夹 (德:mappe)
azse	使减少
dala	粗暴,猛烈
lajo	地形
apostrof	撇号“’” (apostrophe,апостроф)
syezanalna	逐字逐句地
masa	桌子 masa
bo$na	空的
darna	窄的,紧的
kari	妻子 karı
tavan	天花板 tavan
saat	小时
sanjye	秒 saniye
avlae	抓捕,猎捕  avlamak аулау
bjte	结束 bitmek
kalke	起来
bjne	乘上,乘坐,骑上,go on, binmek
alka	贿赂 al-ka
dale	蛮干
kjkj	机器
tagajajte	交流
%udan	洗清
kotjol	锅 котёл
-ex	第二人称后缀
-ao	动词命令式
-nue	动词后缀,表一次(нуть)后接时态,人称
judej	犹太人 иудей
caj$o	茶话会(caj-j$o)
$anta%	敲诈,勒索 шантаж (来自法语)
$anta%q@le	敲诈,勒索
olopos	椅子 олоппос (雅库特)
suslanare	液化的
xjebjen	碎石,石子 щебень,щебёнка
asfalt	沥青 асфальт
kyepotena	多面的,多元的 kyep-potenn@st
jo	其他,余下,其余
#tjhj	火山
hejua@kjean	太平洋
tortenanlo	真理
ne	哪个
anauda	那里
buda	在这,这里
pj	皮,单位,1e-12
nano	纳,单位,1e-9
vj	微,单位,1e-6
hao	毫,单位,1e-3
lj	李,李子,李子树,厘(1e-2)
hon	分,单位,1e-1
tymen	万(阿尔泰诸语)
mjljon	百万
tonaljno	附带品,附录
tabu	禁忌 tabu табу
hjtbal@q	人鱼
kyepkuatzm	多神教
dokikuatzm	一神教
kjostvo	良知,良心
kjostvosjzna	无耻的
ortona	正确的 ortho-
ortojazo	正字法
nakana	中间的,中心的
nakan@st	中心度,中心性
nakanose	使集中
nakanosjzm	中央集权
yezosta	专制
sujn	水体
sanb&lcjo	分部,支部
hanpokinjna	对立的,矛盾的 op-posite
